"","ID","K.R1L1","K.R1L3","K.R1L7","L.R1L2","L.R1L4","L.R1L6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","10387",4,5,1,2,0,0,1.73775886502918,-0.0368200073026648,2.42670971141631,0.0517776830176042,0.938443908555132,-4.57943664339983
"2","10593",14,19,8,10,2,2,1.37651562239235,2.08497540138159,2.76113521469121,0.0331274703474298,0.938443908555132,-4.55404154804631
"3","10895",14,15,5,7,2,3,1.14266134507193,1.92510254620019,2.50259283830148,0.0467370765983981,0.938443908555132,-4.56072181670255
"4","11112",2,3,1,4,5,5,-1.31921430161315,1.00764441614649,-2.45583458562772,0.0497783749499448,0.938443908555132,-4.57240603141757
"5","11334",33,31,15,19,12,8,0.714973624887923,3.37618656912129,2.51632940163655,0.0458814126210745,0.938443908555132,-4.5227566983213
"6","1191",61,66,49,86,59,59,-0.493489254993125,5.18237500927809,-2.61573774951442,0.0401633564503291,0.938443908555132,-4.43654905810593
"7","1212",10,10,7,16,10,10,-0.677846575528323,2.62723119109632,-2.34335929625614,0.0579795701041836,0.938443908555132,-4.54906936717541
"8","12534",71,67,41,54,18,25,0.660121665980681,4.5841036896749,2.4212643204501,0.052160776608157,0.938443908555132,-4.47883423233517
"9","12688",84,84,36,53,30,27,0.569025015353275,4.78133003490483,2.49249733557637,0.0473766891141834,0.938443908555132,-4.46447054347763
"10","1286",3,4,6,11,12,10,-1.61556478867153,2.08004799179123,-3.08980087510882,0.0216562867608125,0.938443908555132,-4.54742139501712
"11","13041",7,10,2,3,0,1,1.80225195171161,0.709381046091548,2.39347766115103,0.0541625517028234,0.938443908555132,-4.57654426428467
"12","13221",1,2,2,4,5,5,-1.55948635551726,0.926739944951445,-2.5557466318964,0.0435169382581635,0.938443908555132,-4.57206196131773
"13","13253",1,2,1,4,3,6,-1.63782029757995,0.735400913077761,-2.74495418678814,0.0338407705850163,0.938443908555132,-4.57188213230718
"14","13642",93,81,48,109,78,66,-0.487573930055169,5.47717640679929,-2.78081131148494,0.0322817875717992,0.938443908555132,-4.41555769616392
"15","13795",24,25,6,12,3,1,1.6727812024512,2.21109687621286,2.35557594427444,0.057023900902643,0.938443908555132,-4.56063276609608
"16","14000",16,12,17,23,25,24,-0.97792383958653,3.48368168405639,-2.33876730029739,0.0583431051290705,0.938443908555132,-4.52519798614599
"17","14216",2,2,2,1,0,0,1.46799176967172,-0.367736745686812,2.42278351626562,0.0520535993460387,0.938443908555132,-4.58048656595657
"18","14218",76,83,50,58,36,34,0.423239650716202,4.95180834894266,2.51637957147495,0.0458783180566556,0.938443908555132,-4.45499939250376
"19","14314",109,114,69,137,94,99,-0.472413615447025,5.87965325234904,-2.90048468456673,0.027613947798218,0.938443908555132,-4.40058347675528
"20","14438",0,1,0,2,2,2,-2.03342778945401,-0.367736745686812,-3.11112065575415,0.0210784266457126,0.938443908555132,-4.5753785237902
"21","15174",58,63,28,40,22,12,0.75880742924277,4.23505524166754,2.42894611893202,0.0516212060488088,0.938443908555132,-4.4935925672264
"22","15177",30,29,10,15,8,5,0.971007408170508,2.99160355341231,2.45782962465124,0.0496444341534488,0.938443908555132,-4.53830810302424
"23","1518",4,6,3,1,1,1,1.39356370548263,0.61257331405006,2.72026070370889,0.0349612762867344,0.938443908555132,-4.57346995585519
"24","15191",2,2,1,4,3,3,-1.11229439456003,0.709381046091548,-2.43639024999317,0.0511039306595413,0.938443908555132,-4.5750841009627
"25","1532",1,0,3,4,6,6,-2.37048837969837,0.700992433499857,-2.51261981515198,0.0461108398220129,0.938443908555132,-4.57503679728822
"26","15584",13,15,12,22,18,24,-0.925299934912706,3.31863150814913,-2.68574014386552,0.0365948341277264,0.938443908555132,-4.51708092330974
"27","15876",3,3,3,7,4,5,-1.02489024189108,1.36685745372614,-2.36611057074251,0.0562130480394382,0.938443908555132,-4.56973802461454
